from,to,weight,ranking,country,year,type,oscar,globe
avatar,jcd,20,1,CA,1954,d,3,3
avatar,jcp,20,1,CA,1954,p,3,3
avatar,jcs,20,1,CA,1954,s,3,3
avatar,swa,20,1,AU,1976,a,0,0
avatar,zsa,20,1,US,1978,a,0,0
avatar,swa1,20,1,US,1949,a,0,0
avatar,jhc,20,1,US,1953,c,2,2
avatar,20pc,20,1,US,1935,pc,0,0
avatar,lepc,20,1,US,1990,pc,0,0
avatar,depc,20,1,US,2006,pc,0,0
avatar,impc,20,1,EU,1998,pc,0,0
avatar,wdss,20,1,US,1953,dc,0,0
avengers4,jrd,19,1,US,1971,d,0,0
avengers4,slp,19,1,US,1922,p,0,0
avengers4,cms,19,1,US,1970,s,0,0
avengers4,rda,19,1,US,1965,a,0,3
avengers4,sja,19,1,US,1984,a,0,0
avengers4,jra,19,1,US,1971,a,0,0
avengers4,asc,19,1,US,1950,c,0,0
avengers4,wdss,19,1,US,1923,pc,0,0
avengers4,mspc,19,1,US,1993,pc,0,0
avengers4,wdss,19,1,US,1953,dc,0,0
starwars,jad,18,1,US,1978,d,0,0
starwars,jap,18,1,US,1978,p,0,0
starwars,gls,18,1,US,1944,s,0,0
starwars,dra,18,1,US,1992,a,0,0
starwars,jba,18,1,US,1992,a,0,0
starwars,ada,18,1,US,1983,a,0,0
starwars,jwc,18,1,US,1932,c,5,4
starwars,wdss,18,1,US,1953,pc,0,0
starwars,lfpc,18,1,US,1971,pc,0,0
starwars,brpc,18,1,US,1999,pc,0,0
starwars,wdss,18,1,US,1953,dc,0,0
avengers3,jrd,17,1,US,1971,d,0,0
avengers3,kfp,17,1,US,1973,p,0,0
avengers3,jks,17,1,US,1917,s,0,0
avengers3,rda,17,1,US,1965,a,0,3
avengers3,sja,17,1,US,1984,a,0,0
avengers3,jra,17,1,US,1971,a,0,0
avengers3,asc,17,1,US,1950,c,0,0
avengers3,mspc,17,1,US,1953,pc,0,0
avengers3,wdss,17,1,US,1953,pc,0,0
avengers3,wdss,17,1,US,1953,dc,0,0
jurassic,ctd,16,1,US,1976,d,0,0
jurassic,fmp,16,1,US,1946,p,0,0
jurassic,cts,16,1,US,1976,s,0,0
jurassic,cpa,16,1,US,1979,a,0,0
jurassic,bha,16,1,US,1981,a,0,0
jurassic,voa,16,1,US,1959,a,0,0
jurassic,mgc,16,1,US,1976,a,1,1
jurassic,aepc,16,1,US,1981,pc,0,0
jurassic,lppc,16,1,US,2000,pc,0,0
jurassic,kmpc,16,1,US,1991,pc,0,0
jurassic,uppp,16,1,US,1912,pc,0,0
lion,jfd,15,1,US,1966,d,0,0
lion,jfp,15,1,US,1966,p,0,0
lion,jns,15,1,US,1965,s,0,0
lion,dga,15,1,US,1983,a,0,0
lion,sra,15,1,CA,1982,a,0,0
lion,cea1,15,1,EU,1977,a,0,0
lion,hzc,15,1,EU,1957,c,2,3
lion,wdss,15,1,US,1953,pc,0,0
lion,fepc,15,1,US,1996,pc,0,0
lion,wdss,15,1,US,1953,dc,0,0
avengers,jwd,14,1,US,1964,d,0,0
avengers,jwp,14,1,US,1964,p,0,0
avengers,zps,14,1,US,1968,s,0,0
avengers,rda,14,1,US,1965,a,0,3
avengers,jra,14,1,US,1971,a,0,0
avengers,sja,14,1,US,1984,a,0,0
avengers,asc,14,1,US,1950,c,0,0
avengers,mspc,14,1,US,1993,pc,0,0
avengers,wdss,14,1,US,1953,dc,0,0
furious,jwd2,13,1,A ,1977,d,0,0
furious,vd,13,1,US,1967,p,0,0
furious,cms2,13,1,US,1970,s,0,0
furious,vd,13,1,US,1967,a,0,0
furious,pwa,13,1,US,1973,a,0,0
furious,dja,13,1,US,1972,a,0,0
furious,btc,13,1,US,1972,c,0,0
furious,orpc,13,1,US,1995,pc,0,0
furious,ofpc,13,1,US,1990,pc,0,0
furious,mrpc,13,1,US,2006,pc,0,0
furious,uppp,13,1,US,1912,dc,0,0
gun,jkd,12,1,US,1974,d,0,0
gun,jbp,12,1,EU,1975,p,0,0
gun,jcs2,12,1,US,1947,s,0,0
gun,tca2,12,1,US,1962,a,0,3
gun,jca2,12,1,US,1970,a,1,1
gun,mta,12,1,US,1987,a,0,0
gun,lbc,12,1,EU,1976,c,0,0
gun,pppp,12,1,US,1912,pc,0,0
gun,smpc,12,1,US,2010,pc,0,0
gun,tppc,12,1,A,2015,pc,0,0
gun,jbpc,12,1,US,1995,pc,0,0
gun,pppp,12,1,US,1912,dc,0,0
frozen2,cbd,11,1,US,1958,d,1,0
frozen2,pdp,11,1,US,1966,p,1,0
frozen2,jls,11,1,US,1971,s,0,0
frozen2,kba,11,1,US,1980,a,0,0
frozen2,ima,11,1,US,1971,a,0,0
frozen2,jga2,11,1,US,1981,a,0,0
frozen2,cbc,11,1,EU,1972,c,0,0
frozen2,wdss,11,1,US,1953,pc,0,0
frozen2,wdss,11,1,US,1953,dc,0,0
avengers2,jwd,10,1,US,1964,d,0,0
avengers2,kfp,10,1,US,1973,p,0,0
avengers2,jws,10,1,US,1964,s,0,0
avengers2,rda,10,1,US,1965,a,0,3
avengers2,cea,10,1,US,1981,a,0,0
avengers2,mra2,10,1,US,1967,a,0,1
avengers2,dec,10,1,US,1953,c,0,0
avengers2,mspc,10,1,US,1993,pc,0,0
avengers2,wdss,10,1,US,1953,pc,0,0
avengers2,wdss,10,1,US,1953,dc,0,0
panther,rcd,9,1,US,1986,d,0,0
panther,kfp,9,1,US,1973,p,0,0
panther,rcs,9,1,US,1986,s,0,0
panther,cba,9,1,US,1976,a,0,1
panther,mja,9,1,US,1987,a,0,0
panther,lna,9,1,SA,1983,a,1,0
panther,lgc,9,1,EU,1984,c,1,0
panther,mspc,9,1,US,1993,pc,0,0
panther,wdss,9,1,US,1953,dc,0,0
potter,dyd,8,1,EU,1963,d,0,0
potter,dhp1,8,1,EU,1961,p,0,0
potter,sks,8,1,US,1960,s,0,0
potter,dra1,8,1,EU,1989,a,0,0
potter,rga,8,1,EU,1988,a,0,0
potter,ewa,8,1,EU,1990,a,0,0
potter,adc,8,1,EU,1961,c,2,2
potter,wbbb,8,1,US,1923,pc,0,0
potter,hfpc,8,1,EU,1996,pc,0,0
potter,wbbb,8,1,US,1923,dc,0,0
jedi,rjd,7,1,US,1973,d,0,0
jedi,kkp,7,1,US,1953,p,0,0
jedi,rjs,7,1,US,1973,s,0,0
jedi,mha,7,1,US,1951,a,0,0
jedi,cfa,7,1,US,1956,a,0,0
jedi,ada,7,1,US,1983,a,0,0
jedi,jwc,7,1,US,1932,c,5,4
jedi,lfpc,7,1,US,1971,pc,0,0
jedi,wdss,7,1,US,1953,dc,0,0
kingdom,jbd,6,1,EU,1975,d,0,0
kingdom,fmp,6,1,US,1946,p,0,0
kingdom,dcs,6,1,US,1976,s,0,0
kingdom,cpa,6,1,US,1979,a,0,0
kingdom,bha,6,1,US,1981,a,0,0
kingdom,rsa,6,1,EU,1983,a,0,0
kingdom,mgc,6,1,US,1967,c,1,1
kingdom,aepc,6,1,US,1981,pc,0,0
kingdom,lepc1,6,1,US,2000,pc,0,0
kingdom,pwpc,6,1,A,2008,pc,0,0
kingdom,tmpc,6,1,US,1992,pc,0,0
kingdom,uppp,6,1,US,1912,dc,0,0
frozen,cbd,5,1,US,1958,d,1,0
frozen,pdp,5,1,US,1966,p,1,0
frozen,jls,5,1,US,1971,s,0,0
frozen,kba,5,1,US,1980,a,0,0
frozen,ima,5,1,US,1971,a,0,0
frozen,jga1,5,1,EU,1985,a,0,0
frozen,cbc,5,1,US,1972,c,0,0
frozen,wdss,5,1,US,1953,pc,0,0
frozen,wdss,5,1,US,1953,dc,0,0
beauty,bcd,4,1,US,1955,d,1,0
beauty,dhp,4,1,US,1953,p,0,0
beauty,scs,4,1,EU,1970,s,0,0
beauty,ewa,4,1,EU,1990,a,0,0
beauty,dsa,4,1,EU,1982,a,0,0
beauty,lea1,4,1,EU,1979,a,0,0
beauty,amc,4,1,US,1949,c,8,4
beauty,wdss,4,1,US,1953,pc,0,0
incredibles,wdss,4,1,US,1953,dc,0,0
incredibles,bb,3,1,US,1957,d,2,0
incredibles,ngp,3,1,US,1986,p,0,0
incredibles,bb,3,1,US,1957,s,0,0
incredibles,cna,3,1,US,1944,a,0,0
incredibles,hha,3,1,US,1958,a,1,1
incredibles,sva,3,1,US,1969,a,0,0
incredibles,mgc,3,1,US,1967,c,1,1
incredibles,ppc,3,1,US,1953,pc,0,0
fate,wdss,3,1,US,1953,dc,0,0
fate,fgd,2,1,US,1969,d,0,0
fate,vd,2,1,US,1967,p,0,0
fate,gts,2,1,US,1959,s,0,0
fate,vd,2,1,EU,1967,a,0,0
fate,jsa,2,1,US,1967,a,0,0
fate,dja,2,1,US,1972,a,0,0
fate,btc,2,1,US,1972,c,0,0
fate,uppp,2,1,US,1912,pc,0,0
iron,uppp,2,1,US,1912,dc,0,0
iron,sbd,1,1,US ,1961,d,0,0
iron,kfp,1,1,US ,1973,p,0,0
iron,dps,1,1,EU,1975,s,0,0
iron,rda,1,1,US ,1965,a,0,4
iron,gpa,1,1,US ,1972,a,1,1
iron,dca,1,1,US ,1964,a,0,2
iron,btc,1,1,US ,1972,c,0,0
iron,mspc,1,1,US ,1993,pc,0,0
erdmann,wdss,1,2,US ,1953,dc,0,0
erdmann,mad,20,2,EU,1976,d,1,0
erdmann,map,20,2,EU,1976,p,1,0
erdmann,mas,20,2,EU,1976,s,1,0
erdmann,sha,20,2,EU,1978,a,0,0
erdmann,psa,20,2,EU,1946,a,0,0
erdmann,mwa,20,2,EU,1953,a,0,0
erdmann,pvc,20,2,EU,1976,c,0,0
erdmann,kfpc1,20,2,EU,1999,pc,0,0
erdmann,copc,20,2,EU,1999,pc,0,0
erdmann,khpc,20,2,EU,2007,pc,0,0
erdmann,mfpc,20,2,US,2014,pc,0,0
moon,nfdc,20,2,EU,1956,dc,0,0
moon,bjd,19,2,US,1979,d,1,0
moon,arp,19,2,US,1982,p,1,0
moon,bjs,19,2,US,1979,s,1,0
moon,aha,19,2,US,2004,a,0,0
moon,asa,19,2,US,1995,a,0,0
moon,tra,19,2,US,1990,a,0,0
moon,nbc,19,2,US,1980,c,0,0
moon,a2pc,19,2,US,2012,pc,0,0
moon,dmpc,19,2,EU,1996,pc,0,0
verbl,a2dc,19,2,US,2012,dc,0,0
verbl,nad,18,2,EU,1961,d,0,0
verbl,ssp,18,2,EU,1952,p,0,0
verbl,sls,18,2,EU,1954,s,0,0
verbl,mna,18,2,EU,1960,a,0,0
verbl,npa,18,2,EU,1979,a,0,0
verbl,lea,18,2,EU,1955,a,0,0
verbl,jgc,18,2,EU,1951,c,0,0
verbl,nfpc,18,2,EU,1906,pc,0,0
verbl,wbbb,18,2,US,1923,pc,0,0
traffic,wbbb,18,2,US,1923,dc,0,0
traffic,ssd,17,2,US,1963,d,0,0
traffic,lbp,17,2,US,1968,p,0,0
traffic,sms,17,2,US,1958,s,0,0
traffic,mda,17,2,US,1944,a,2,5
traffic,dca,17,2,US,1964,a,0,2
traffic,bta,17,2,US,1967,a,1,1
traffic,cmc,17,2,US,1954,c,0,0
traffic,iepc,17,2,US,1990,pc,0,0
traffic,lbpc,17,2,US,,pc,0,0
traffic,bfpc,17,2,US,1985,pc,0,0
kommando,ufdc,17,2,US,,dc,0,0
kommando,kbd,16,2,US,1951,d,2,0
kommando,kbp,16,2,US,1951,p,2,0
kommando,mbs,16,2,US,1973,s,2,0
kommando,jra,16,2,US,1971,a,0,0
kommando,ama,16,2,US,1978,a,0,0
kommando,ela,16,2,CA,1979,a,0,0
kommando,mbc,16,2,US,1966,c,0,0
kommando,kfpc,16,2,US,1974,pc,0,0
kommando,flpc,16,2,US,2001,pc,0,0
kommando,vppc,16,2,US,2005,pc,0,0
kommando,gppc,16,2,US,1999,pc,0,0
man,sedc,16,2,US,1991,dc,0,0
man,jc1,15,2,US,1954,d,4,1
man,ecp,15,2,US,1957,p,4,1
man,jc1,15,2,US,1954,s,4,1
man,msa,15,2,US,1968,a,0,0
man,rka,15,2,US,1956,a,0,0
man,fma,15,2,US,1956,a,0,0
man,cbc1,15,2,US,1954,c,2,0
man,scpc,15,2,US,1988,pc,0,0
man,rmpc,15,2,US,2004,pc,0,0
man,wtpc,15,2,US,1984,pc,0,0
man,mzpc,15,2,US,1985,pc,0,0
leben,ffdc,15,2,US,2002,dc,0,0
leben,fhd,14,2,EU,1973,d,1,1
leben,mwp,14,2,EU,1977,p,1,1
leben,fhs,14,2,EU,1973,s,1,1
leben,uma,14,2,EU,1953,a,0,0
leben,ska,14,2,EU,1962,a,0,0
leben,mga,14,2,EU,1961,a,0,0
leben,gyc,14,2,EU,1949,c,1,1
leben,wbbb2,14,2,EU,2003,pc,0,0
leben,brpc,14,2,US,1999,pc,0,0
leben,arpc,14,2,EU,1991,pc,0,0
leben,cfpc,14,2,EU,,pc,0,0
name,wdss,14,2,US,1953,dc,0,0
name,lgd,13,2,EU,1971,d,0,0
name,psp,13,2,US,1965,p,1,0
name,jis,13,2,US,1928,s,1,0
name,aha2,13,2,US,1986,a,0,0
name,tca,13,2,US,1995,a,0,0
name,msa,13,2,US,1968,a,0,0
name,ssc,13,2,US,1975,c,0,0
name,ffpc,13,2,EU,2012,pc,0,0
name,lcpc,13,2,EU,,pc,0,0
name,rtpc,13,2,SA,2005,pc,0,0
name,mypc,13,2,US,2007,pc,0,0
ratatouille,spdc,13,2,US,1991,dc,0,0
ratatouille,bb,12,2,US,1957,d,2,0
ratatouille,blp,12,2,US,1958,p,0,0
ratatouille,bb,12,2,US,1957,s,0,0
ratatouille,bga,12,2,US,1960,a,0,0
ratatouille,lra,12,2,US,1972,a,0,0
ratatouille,poa,12,2,US,1969,a,0,0
ratatouille,mgc,12,2,US,1967,c,1,1
ratatouille,ppc,12,2,US,1953,pc,0,0
ratatouille,wdss,12,2,US,1953,pc,0,0
dark,bvdc,12,2,US,1954,dc,0,0
dark,cnd,11,2,EU,1970,d,0,0
dark,cnp,11,2,EU,1970,p,0,0
dark,jns1,11,2,EU,1976,s,0,0
dark,cba1,11,2,EU,1974,a,1,2
dark,hla,11,2,AU,1979,a,1,1
dark,aea,11,2,US,1968,a,0,0
dark,jnc,11,2,US,1951,c,0,0
dark,dcpc,11,2,US,1934,pc,0,0
dark,wbbb,11,2,US,1923,pc,0,0
dark,dcpc1,11,2,US,2016,pc,0,0
dark,lppc,11,2,US,2000,pc,0,0
kopf,wbbb,11,2,US,1923,dc,0,0
kopf,pdd,10,2,US,1968,d,3,0
kopf,jrp,10,2,US,1971,p,2,0
kopf,pds,10,2,US,1968,s,1,2
kopf,apa,10,2,US,1971,a,0,1
kopf,bha1,10,2,US,1978,a,0,0
kopf,lba,10,2,US,1948,a,0,0
kopf,mgc,10,2,US,1967,c,1,0
kopf,ppc,10,2,US,1953,pc,0,0
kopf,wdss,10,2,US,1953,pc,0,0
gravity,wdss,10,2,US,1953,dc,0,0
gravity,acd,9,2,SA,1961,d,2,2
gravity,acp,9,2,SA,1961,p,2,2
gravity,acs,9,2,SA,1961,s,2,2
gravity,sba,9,2,US,1964,a,1,1
gravity,gca,9,2,US,1961,a,2,4
gravity,eha,9,2,US,1950,a,0,2
gravity,spc,9,2,EU,1977,c,1,0
gravity,wbbb,9,2,US,1923,pc,0,0
gravity,efpc,9,2,SA,2004,pc,0,0
gravity,hfpc,9,2,EU,1969,pc,0,0
wrestler,wbbb,9,2,US,1923,dc,0,0
wrestler,dad,8,2,US,1969,d,0,0
wrestler,dap,8,2,US,1969,p,0,0
wrestler,rss,8,2,US,1971,s,0,0
wrestler,mra,8,2,US,1952,a,0,1
wrestler,mta1,8,2,US,1964,a,1,0
wrestler,ewa1,8,2,US,1987,a,0,0
wrestler,cmc1,8,2,EU,1963,c,0,0
wrestler,wbbb1,8,2,EU,1979,pc,0,0
wrestler,pppp1,8,2,US,1997,pc,0,0
hugo,fsdc,8,2,US,1994,dc,0,0
hugo,msd,7,2,US,1942,d,1,3
hugo,gkp,7,2,EU,1961,p,1,0
hugo,jls1,7,2,US,1961,s,0,0
hugo,bka,7,2,EU,1943,a,1,0
hugo,sca1,7,2,EU,1971,a,0,2
hugo,aba,7,2,EU,1997,a,0,0
hugo,hsc,7,2,CA,1946,c,3,3
hugo,gkpc,7,2,US,2007,pc,0,0
hugo,inpc,7,2,US,2004,pc,0,0
descendants,pppp,7,2,US,1912,dc,0,0
descendants,apd,6,2,US,1961,d,2,2
descendants,jbp1,6,2,US,1957,p,1,0
descendants,aps,6,2,US,1961,s,2,2
descendants,gca,6,2,US,1961,a,2,4
descendants,swa2,6,2,US,1991,a,0,0
descendants,bba,6,2,US,1941,a,0,2
descendants,cac,6,2,EU,1959,c,0,1
descendants,ahpc,6,2,,,pc,0,0
brokeback,fsdc,6,2,US,1994,dc,0,0
brokeback,ald,5,2,A,1954,d,2,2
brokeback,dop,5,2,US,1949,p,1,1
brokeback,lms,5,2,US,1936,s,1,1
brokeback,hla,5,2,AU,1979,a,1,1
brokeback,jga,5,2,US,1980,a,0,0
brokeback,lca,5,2,US,1975,a,0,0
brokeback,gsc,5,2,SA,1951,c,2,1
brokeback,rrpc,5,2,US,1987,pc,0,0
muenchen,ffdc,5,2,US,2002,dc,0,0
muenchen,ssd1,4,2,US,1946,d,3,2
muenchen,ssp1,4,2,US,1946,p,3,2
muenchen,gjs,4,2,EU,1935,s,0,0
muenchen,eba,4,2,AU,1968,a,0,0
muenchen,cda,4,2,EU,1968,a,0,0
muenchen,cha,4,2,EU,1953,a,0,0
muenchen,jwc,4,2,US,1932,c,5,4
muenchen,uppp,4,2,US,1912,pc,0,0
muenchen,dppc,4,2,US,1994,pc,0,0
social,ugdc,4,2,EU,1981,dc,0,0
social,dfd,3,2,US,1962,d,3,1
social,dbp,3,2,US,1973,p,0,0
social,ass,3,2,US,1961,s,1,3
social,jea,3,2,US,1983,a,0,0
social,jta,3,2,US,1981,a,0,0
social,aga,3,2,US,1983,a,0,1
social,trc,3,2,US,1965,c,2,1
social,cppc,3,2,US,1919,pc,0,0
social,srpc,3,2,US,1980,pc,0,0
social,tspc,3,2,US,1997,pc,0,0
social,rmpc,3,2,US,2004,pc,0,0
tree,spdc,3,2,US,1991,dc,0,0
tree,tmd,2,2,US,1943,d,0,0
tree,skp,2,2,US,1942,p,0,0
tree,tms,2,2,US,1943,s,1,3
tree,bpa,2,2,US,1963,a,2,2
tree,jca,2,2,US,1977,a,1,1
tree,spa,2,2,US,1960,a,2,1
tree,adc,2,2,EU,1961,c,2,2
tree,pbpc,2,2,US,2001,pc,0,0
tree,rrpc,2,2,US,1987,pc,0,0
country,cfdc,2,2,EU,1980,dc,0,0
country,jc1,1,2,US,1954,d,4,1
country,srp,1,2,US,1958,p,1,0
country,jc1,1,2,US,1954,s,4,1
country,tja,1,2,US,1946,a,1,1
country,jba2,1,2,EU,1969,a,1,1
country,jba1,1,2,US,1968,a,1,0
country,cbc1,1,2,US,1954,c,2,0
country,mfpc1,1,2,US,1979,pc,0,0
country,srpc,1,2,US,1980,pc,0,0
country,pcpc,1,2,US,1998,pc,0,0
country,ugdc,1,2,EU,1981,dc,0,0